ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,day_of_week
2020-06-12,1095.8568206036232,1051.2356616710595,1150.9489476712217,1059.7964745703423,1133.2927179278938,6.055738483985431,6.055738483985431,6.055738483985431,2.851759282118942,2.851759282118942,2.851759282118942,3.203979201866489,3.203979201866489,3.203979201866489,0.0,0.0,0.0,1101.9125590876085,Friday
2020-06-15,1098.9126143671808,1050.78785111317,1147.3405731702055,1061.6176806089654,1137.4711956215162,-0.8841369774176707,-0.8841369774176707,-0.8841369774176707,0.5098746638787824,0.5098746638787824,0.5098746638787824,-1.3940116412964532,-1.3940116412964532,-1.3940116412964532,0.0,0.0,0.0,1098.028477389763,Monday
2020-06-16,1099.9312122883669,1047.6197157150773,1146.0961260598947,1062.2263854325001,1138.8640215193902,-0.13660530754100447,-0.13660530754100447,-0.13660530754100447,2.547495504477928,2.547495504477928,2.547495504477928,-2.6841008120189325,-2.6841008120189325,-2.6841008120189325,0.0,0.0,0.0,1099.7946069808258,Tuesday
2020-06-17,1100.9498102095527,1050.0759292956066,1154.370414119574,1062.8392969203198,1140.2568474172642,-0.945801076027915,-0.945801076027915,-0.945801076027915,2.9108501371602444,2.9108501371602444,2.9108501371602444,-3.8566512131881594,-3.8566512131881594,-3.8566512131881594,0.0,0.0,0.0,1100.0040091335247,Wednesday
2020-06-18,1101.9684081307385,1046.0404212233848,1148.1636208339678,1063.4522084081393,1141.6496733151382,-2.9979515306461435,-2.9979515306461435,-2.9979515306461435,1.9209617238319323,1.9209617238319323,1.9209617238319323,-4.918913254478076,-4.918913254478076,-4.918913254478076,0.0,0.0,0.0,1098.9704566000923,Thursday
2020-06-19,1102.9870060519243,1046.9002288140252,1148.95747392218,1063.8369915080314,1143.0424992130122,-3.0294194954740776,-3.0294194954740776,-3.0294194954740776,2.8517592821175763,2.8517592821175763,2.8517592821175763,-5.8811787775916535,-5.8811787775916535,-5.8811787775916535,0.0,0.0,0.0,1099.9575865564502,Friday
2020-06-22,1106.042799815482,1043.9262030374796,1155.191168787084,1065.885907716222,1147.2297947475577,-7.799189062521501,-7.799189062521501,-7.799189062521501,0.5098746638768935,0.5098746638768935,0.5098746638768935,-8.309063726398394,-8.309063726398394,-8.309063726398394,0.0,0.0,0.0,1098.2436107529606,Monday
2020-06-23,1107.061397736668,1051.0989378262361,1155.5607007898197,1066.5023512473447,1148.6311825476887,-6.474450070285311,-6.474450070285311,-6.474450070285311,2.5474955044689924,2.5474955044689924,2.5474955044689924,-9.021945574754303,-9.021945574754303,-9.021945574754303,0.0,0.0,0.0,1100.5869476663827,Tuesday
2020-06-24,1108.079995657854,1047.4381957971134,1153.8658248874326,1067.1153192246106,1150.1722535859012,-6.806954651600744,-6.806954651600744,-6.806954651600744,2.9108501371609643,2.9108501371609643,2.9108501371609643,-9.717804788761708,-9.717804788761708,-9.717804788761708,0.0,0.0,0.0,1101.2730410062532,Wednesday
2020-06-25,1109.0985935790397,1045.0883558265518,1153.1756396508786,1067.7282872018766,1151.6393763059014,-8.494905297992137,-8.494905297992137,-8.494905297992137,1.9209617238269356,1.9209617238269356,1.9209617238269356,-10.415867021819073,-10.415867021819073,-10.415867021819073,0.0,0.0,0.0,1100.6036882810477,Thursday
