Ações por Índice
Dados de 5 a 8 de 2023
Empresa;Código;Índices dos quais participa
CEMIG;PN   N1;CMIG4;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL;
CHARTER COMM;DRN;CHCM34;BDRX;
CHEVRON;DRN;CHVX34;BDRX;
CIELO;ON   NM;CIEL3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
CISCO;DRN;CSCO34;BDRX;
CITIGROUP;DRN;CTGP34;BDRX;
CLEARSALE;ON   NM;CLSA3;GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL;
COCA COLA;DRN;COCA34;BDRX;
COELCE;PNA;COCE5;IEEX;
COGNA ON;ON   NM;COGN3;GPTW,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL;
COINBASEGLOB;DRN;C2OI34;BDRX;
COLGATE;DRN;COLG34;BDRX;
COMCAST;DRN;CMCS34;BDRX;
COPASA;ON   NM;CSMG3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL;
COPEL;PNB  N2;CPLE6;GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL;
COPHILLIPS;DRN;COPH34;BDRX;
COSAN;ON   NM;CSAN3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
COSTCO;DRN;COWC34;BDRX;
COTEMINAS;PN;CTNM4;ITAG;
CPFL ENERGIA;ON   NM;CPFE3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL;
CRUZEIRO EDU;ON   NM;CSED3;IGCX,IGNM,ITAG;
CSNMINERACAO;ON   N2;CMIN3;IBOV,IBRA,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,ITAG,MLCX;
CSU DIGITAL;ON   NM;CSUD3;IGCX,IGNM,ITAG;
CURY S/A;ON   NM;CURY3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
CVC BRASIL;ON   NM;CVCB3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
CYRELA REALT;ON   NM;CYRE3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL;
D1000VFARMA;ON   NM;DMVF3;IGCX,IGNM,ITAG;
DASA;ON   NM;DASA3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
DESKTOP;ON   NM;DESK3;IGCX,IGNM,ITAG;
